order_id,restaurant_name,customer_id,cost_of_the_order,rating,delivery_time,day_of_the_week,cuisine_type,restaurant_id
1477243,Prosperity Dumpling,176234,14.02,5.0,30,Weekend,Chinese,41
1477560,Blue Ribbon Fried Chicken,371677,6.79,0.0,28,Weekday,American,4
1476896,Blue Ribbon Fried Chicken,388918,24.25,0.0,21,Weekend,American,4
1478327,Blue Ribbon Sushi Bar & Grill,68551,33.03,0.0,20,Weekend,Japanese,42
1476820,Cafe Habana,152786,31.38,4.0,27,Weekend,Mexican,3
1478121,Westville Hudson,62980,8.34,0.0,26,Weekday,American,43
1478077,Shake Shack,82041,33.03,0.0,32,Weekday,American,15
1478359,Blue Ribbon Brooklyn,361616,24.2,3.0,32,Weekday,American,44
1476841,RedFarm Broadway,398426,12.46,4.0,20,Weekend,Chinese,33
1477125,Nobu Next Door,130820,15.86,5.0,23,Weekend,Japanese,45
1477915,Osteria Morini,200074,14.55,0.0,22,Weekend,Italian,46
1477475,Blue Ribbon Fried Chicken,65009,32.93,5.0,23,Weekend,American,4
1477932,Shake Shack,170221,16.98,0.0,21,Weekend,American,15
1476651,Shake Shack,58092,8.0,5.0,23,Weekend,American,15
1477730,Parm,50616,13.05,0.0,27,Weekend,Italian,29
1477518,Sushi Samba,133202,29.05,5.0,16,Weekend,Japanese,30
1477821,Haandi,277898,5.67,4.0,31,Weekday,Indian,47
1477104,The Meatball Shop,77341,16.93,0.0,25,Weekend,Italian,7
1477921,Benihana,97079,29.29,5.0,18,Weekend,Japanese,48
1477938,The Kati Roll Company,150002,16.15,5.0,29,Weekend,Indian,25
1476943,RedFarm Hudson,87472,22.75,0.0,30,Weekend,Chinese,17
1477581,Han Dynasty,231061,13.34,4.0,27,Weekend,Chinese,49
1477975,Shake Shack,56722,9.75,5.0,25,Weekend,American,15
1477601,Cafeteria,107909,6.69,4.0,32,Weekday,American,34
1477790,Shake Shack,133617,4.75,4.0,28,Weekday,American,15
1477385,Chipotle Mexican Grill $1.99 Delivery,67538,12.56,5.0,18,Weekend,Mexican,32
1478423,The Meatball Shop,129969,21.2,0.0,16,Weekend,Italian,7
1477051,Tortaria,57174,19.31,0.0,28,Weekend,Mexican,20
1476796,Nobu Next Door,78939,16.3,3.0,24,Weekday,Japanese,45
1478031,Otto Enoteca Pizzeria,309513,13.05,5.0,27,Weekday,Italian,22
1477740,TAO,129798,25.27,4.0,24,Weekday,Japanese,28
1478384,Hill Country Fried Chicken,184085,14.79,5.0,15,Weekend,Southern,37
1478183,Shake Shack,329710,5.72,3.0,24,Weekday,American,15
1477569,Chote Nawab,65009,16.15,5.0,30,Weekend,Indian,50
1478211,RedFarm Hudson,154030,33.03,4.0,22,Weekend,Chinese,17
1476635,Mission Cantina,86731,16.2,5.0,18,Weekend,Mexican,51
1477646,Xi'an Famous Foods,306119,9.22,0.0,32,Weekday,Chinese,52
1477027,Blue Ribbon Fried Chicken,164016,16.39,0.0,22,Weekend,American,4
1476921,Blue Ribbon Fried Chicken,121476,12.18,3.0,27,Weekday,American,4
1476689,Shake Shack,305522,24.2,4.0,29,Weekday,American,15
1477767,Sarabeth's East,68976,17.03,3.0,30,Weekend,American,36
1476582,Cafe Habana,60703,6.79,0.0,25,Weekday,Mexican,3
1478169,Rubirosa,80460,21.83,3.0,27,Weekend,Italian,53
1477702,Blue Ribbon Fried Chicken,128600,31.29,0.0,33,Weekday,American,4
1477240,Blue Ribbon Sushi,142356,11.83,4.0,21,Weekend,Japanese,18
1476564,Five Guys Burgers and Fries,83287,24.3,5.0,20,Weekend,American,19
1478408,The Meatball Shop,134152,22.26,0.0,25,Weekend,Italian,7
1477824,TAO,345899,20.47,4.0,30,Weekend,Japanese,28
1477617,Blue Ribbon Sushi,38050,12.18,5.0,25,Weekend,Japanese,18
1477978,Joe's Shanghai _Àü£¾÷´,259341,15.81,5.0,26,Weekend,Chinese,54
1477281,Otto Enoteca Pizzeria,309513,22.36,5.0,27,Weekend,Italian,22
1478223,Blue Ribbon Sushi,234089,8.68,5.0,27,Weekend,Japanese,18
1477364,Shake Shack,125123,21.83,0.0,22,Weekend,American,15
1476715,Bareburger,365244,16.3,0.0,28,Weekday,American,55
1476654,The Odeon,63020,12.9,3.0,28,Weekday,American,56
1477296,Parm,222879,29.15,5.0,27,Weekday,Italian,29
1478321,Pongsri Thai,275535,13.05,4.0,24,Weekday,Thai,57
1477942,Yama Japanese Restaurant,49793,22.36,5.0,16,Weekend,Japanese,58
1477552,Shake Shack,137565,31.29,0.0,32,Weekday,American,15
1476770,Blue Ribbon Fried Chicken,65009,7.86,4.0,33,Weekday,American,4
1476558,Yama Japanese Restaurant,214394,16.1,0.0,27,Weekend,Japanese,58
1477993,Momoya,91907,16.98,5.0,32,Weekday,Japanese,59
1478072,Osteria Morini,82041,12.95,5.0,28,Weekend,Italian,46
1476935,Blue Ribbon Fried Chicken,59419,11.69,5.0,24,Weekend,American,4
1477255,Five Guys Burgers and Fries,50199,12.13,0.0,15,Weekend,American,19
1477012,The Meatball Shop,325210,12.32,0.0,19,Weekend,Italian,7
1477704,Balthazar Boulangerie,100999,12.13,0.0,27,Weekend,French,61
1477188,Sushi of Gari,146588,12.18,5.0,24,Weekday,Japanese,16
1478348,Parm,310051,14.99,0.0,24,Weekend,Italian,29
1477405,The Meatball Shop,128243,6.74,5.0,30,Weekend,Italian,7
1476826,CafÌ© China,53543,24.3,0.0,23,Weekend,Chinese,62
1478340,Shake Shack,230535,10.38,3.0,29,Weekend,American,15
1477044,RedFarm Broadway,127122,6.79,5.0,28,Weekend,Chinese,33
1476978,RedFarm Hudson,177250,25.27,0.0,28,Weekend,Chinese,17
1477287,Otto Enoteca Pizzeria,111125,14.99,0.0,21,Weekend,Italian,22
1477110,RedFarm Hudson,144997,29.05,4.0,28,Weekend,Chinese,17
1476555,Blue Ribbon Sushi Bar & Grill,97991,9.65,0.0,26,Weekend,Japanese,42
1476862,The Meatball Shop,58533,29.2,0.0,24,Weekend,Italian,7
1477117,Nobu Next Door,104336,5.77,4.0,24,Weekday,Japanese,45
1478402,CafÌ© China,232582,32.93,3.0,28,Weekday,Chinese,62
1477431,Boqueria,195927,12.13,5.0,20,Weekend,Spanish,63
1477836,Bareburger,373689,12.08,0.0,20,Weekend,American,55
1477376,Blue Ribbon Fried Chicken,370372,11.59,0.0,24,Weekday,American,4
1476835,TAO,264707,9.56,5.0,17,Weekend,Japanese,28
1477177,Song Thai Restaurant & Bar,42385,24.2,5.0,26,Weekend,Thai,64
1478174,Sushi of Gari,104555,29.34,0.0,25,Weekday,Japanese,16
1478269,The Meatball Shop,250494,11.16,5.0,28,Weekday,Italian,7
1477369,Shake Shack,139085,24.25,0.0,24,Weekday,American,15
1476969,Blue Ribbon Sushi,198309,29.2,0.0,25,Weekend,Japanese,18
1477420,Shake Shack,399478,14.07,0.0,28,Weekend,American,15
1476663,Parm,40010,19.35,4.0,19,Weekend,Italian,29
1477904,RedFarm Hudson,48131,16.1,4.0,29,Weekend,Chinese,17
1478219,Shake Shack,41692,22.8,0.0,19,Weekend,American,15
1477206,Blue Ribbon Sushi Bar & Grill,61305,15.23,0.0,19,Weekend,Japanese,42
1477337,Five Guys Burgers and Fries,123780,33.03,0.0,25,Weekend,American,19
1476809,Shake Shack,385248,12.95,0.0,18,Weekend,American,15
1477750,Shake Shack,97806,16.49,5.0,22,Weekend,American,15
1476817,Benihana,97079,29.05,0.0,26,Weekend,Japanese,48
1476659,RedFarm Broadway,52463,31.33,3.0,23,Weekend,Chinese,33
1477609,TAO,105068,16.01,0.0,16,Weekend,Japanese,28
1477616,Tamarind TriBeCa,128600,14.07,4.0,21,Weekend,Indian,6
1476769,Sushi of Gari 46,71791,8.83,0.0,33,Weekday,Japanese,24
1477185,The Kati Roll Company,362068,33.03,0.0,21,Weekend,Indian,25
1477752,Shake Shack,298824,16.25,3.0,24,Weekday,American,15
1477239,The Meatball Shop,94524,22.36,4.0,18,Weekend,Italian,7
1476590,The Kati Roll Company,342107,16.83,4.0,20,Weekend,Indian,25
1478305,Rubirosa,62359,8.0,4.0,29,Weekday,Italian,53
1476751,Blue Ribbon Sushi,347181,16.01,0.0,22,Weekend,Japanese,18
1477831,RedFarm Broadway,60052,16.01,4.0,27,Weekday,Chinese,33
1477955,Five Leaves,198936,10.24,0.0,25,Weekday,American,65
1476568,Otto Enoteca Pizzeria,348787,19.4,4.0,28,Weekday,Italian,22
1478391,Pinto Nouveau Thai Bistro,184325,19.35,4.0,24,Weekend,Thai,66
1476725,Barbounia,42935,13.97,5.0,25,Weekend,Mediterranean,8
1476688,Cafe Mogador,200672,13.0,0.0,15,Weekend,Middle Eastern,21
1477102,Five Guys Burgers and Fries,75484,13.05,0.0,27,Weekend,American,19
1476878,RedFarm Broadway,378027,8.49,0.0,16,Weekend,Chinese,33
1476805,Parm,93133,22.8,5.0,33,Weekday,Italian,29
1478093,Barbounia,268958,20.18,5.0,19,Weekend,Mediterranean,8
1478201,RedFarm Broadway,370017,19.59,5.0,19,Weekend,Chinese,33
1478032,Dirty Bird to Go,146586,19.4,4.0,19,Weekend,American,5
1476606,The Meatball Shop,350085,17.03,0.0,29,Weekday,Italian,7
1477570,Amy Ruth's,292343,16.11,4.0,26,Weekend,Southern,67
1476808,Pepe Giallo,84700,14.6,3.0,24,Weekday,Italian,68
1476610,TAO,53212,12.27,0.0,29,Weekday,Japanese,28
1476875,indikitch,373353,22.26,0.0,16,Weekend,Indian,69
1476829,The Meatball Shop,79255,6.79,0.0,15,Weekend,Italian,7
1477366,Han Dynasty,275689,14.12,4.0,19,Weekend,Chinese,49
1477774,The Meatball Shop,354719,29.15,5.0,20,Weekend,Italian,7
1477209,Prosperity Dumpling,17495,12.18,0.0,24,Weekday,Chinese,41
1478334,Chipotle Mexican Grill $1.99 Delivery,352247,25.22,4.0,22,Weekend,Mexican,32
1477872,Shake Shack,300670,13.39,0.0,22,Weekend,American,15
1478417,Blue Ribbon Fried Chicken,87747,9.02,5.0,15,Weekend,American,4
1477401,Sushi of Gari,326426,29.15,0.0,24,Weekend,Japanese,16
1477764,Yama 49,131645,13.0,5.0,32,Weekday,Japanese,70
1477835,Blue Ribbon Fried Chicken,129518,15.33,4.0,29,Weekday,American,4
1476997,Yama Japanese Restaurant,103005,14.55,5.0,28,Weekend,Japanese,58
1477519,Momoya,140477,31.43,0.0,17,Weekend,Japanese,59
1477004,Five Guys Burgers and Fries,250494,33.03,5.0,15,Weekend,American,19
1477536,Piccolo Angolo,105164,15.91,4.0,26,Weekend,Italian,71
1478313,Momoya,160957,12.18,4.0,25,Weekend,Japanese,59
1477290,Shake Shack,361509,19.35,0.0,33,Weekday,American,15
1476648,RedFarm Broadway,169478,19.35,0.0,28,Weekend,Chinese,33
1476657,Hill Country Fried Chicken,91192,29.35,4.0,24,Weekend,Southern,37
1478089,Shake Shack,134294,15.28,4.0,29,Weekday,American,15
1478026,Pepe Rosso To Go,365225,12.23,3.0,24,Weekday,Italian,72
1477768,Shake Shack,279895,9.6,4.0,28,Weekday,American,15
1477424,Han Dynasty,81110,12.95,0.0,25,Weekend,Chinese,49
1478378,Shake Shack,384391,8.88,5.0,23,Weekend,American,15
1477493,Shake Shack,328357,15.96,3.0,21,Weekend,American,15
1478092,Jack's Wife Freda,41318,15.47,5.0,16,Weekend,Mediterranean,39
1477150,Five Guys Burgers and Fries,92832,12.23,5.0,22,Weekend,American,19
1478157,Shake Shack,58871,8.05,4.0,27,Weekday,American,15
1478343,Momoya,231042,8.54,4.0,29,Weekday,Japanese,59
1476860,Nobu Next Door,336162,29.15,5.0,25,Weekday,Japanese,45
1477675,Han Dynasty,76907,7.23,5.0,18,Weekend,Chinese,49
1476799,L'Express,389740,19.69,3.0,17,Weekend,French,73
1476598,Parm,41168,12.13,3.0,22,Weekend,Italian,29
1477277,Bareburger,59749,16.49,0.0,27,Weekday,American,55
1476682,Mission Cantina,86731,12.08,0.0,18,Weekend,Mexican,51
1477047,5 Napkin Burger,42832,9.27,0.0,30,Weekend,American,27
1478173,Han Dynasty,91005,24.25,5.0,26,Weekend,Chinese,49
1477528,Han Dynasty,128963,5.67,4.0,31,Weekday,Chinese,49
1478426,Blue Ribbon Sushi Bar & Grill,124085,14.12,3.0,24,Weekend,Japanese,42
1476696,Han Dynasty,231061,33.03,0.0,31,Weekday,Chinese,49
1478189,Han Dynasty,105138,8.97,4.0,19,Weekend,Chinese,49
1477532,Amma,95164,8.88,4.0,24,Weekday,Indian,74
1477324,Blue Ribbon Sushi Izakaya,263426,12.13,5.0,29,Weekday,Japanese,2
1476698,Delicatessen,142461,11.64,0.0,27,Weekend,American,75
1478290,Sushi of Gari 46,263199,31.43,4.0,23,Weekend,Japanese,24
1476919,Blue Ribbon Sushi Bar & Grill,387227,13.15,5.0,30,Weekend,Japanese,42
1477247,Blue Ribbon Fried Chicken,385559,14.02,5.0,28,Weekend,American,4
1477794,Sarabeth's East,127149,9.41,0.0,16,Weekend,American,36
1477048,Osteria Morini,200074,9.07,0.0,16,Weekend,Italian,46
1477615,Rubirosa,136876,14.07,5.0,16,Weekend,Italian,53
1476566,S'MAC,103884,14.46,0.0,17,Weekend,American,76
1477310,Vanessa's Dumplings,38612,6.7,5.0,17,Weekend,Chinese,77
1477758,Blue Ribbon Sushi Izakaya,334619,14.07,4.0,26,Weekday,Japanese,2
1477765,Tamarind TriBeCa,92996,19.45,4.0,19,Weekend,Indian,6
1476753,Cafe Habana,195723,13.97,3.0,28,Weekday,Mexican,3
1476759,Sushi of Gari 46,268958,12.22,4.0,20,Weekend,Japanese,24
1477333,Bhatti Indian Grill,111356,29.25,5.0,15,Weekend,Indian,78
1476830,Cafeteria,361509,17.03,0.0,20,Weekend,American,34
1478227,Taro Sushi,367591,16.05,5.0,32,Weekday,Japanese,79
1476789,Yama Japanese Restaurant,103005,17.08,5.0,15,Weekend,Japanese,58
1477603,Blue Ribbon Sushi,399121,11.3,0.0,24,Weekday,Japanese,18
1478246,Delicatessen,260680,32.98,5.0,16,Weekend,American,75
1476931,Hill Country Fried Chicken,124838,29.15,5.0,25,Weekend,Southern,37
1477029,The Meatball Shop,295111,13.0,5.0,26,Weekday,Italian,7
1476849,Pepe Rosso To Go,42052,13.73,0.0,28,Weekend,Italian,72
1478179,Han Dynasty,52832,12.23,3.0,27,Weekend,Chinese,49
1477679,Bareburger,120833,16.25,0.0,15,Weekend,American,55
1477810,Bistango,94483,24.2,0.0,21,Weekend,Italian,38
1477342,The Meatball Shop,49631,14.31,0.0,17,Weekend,Italian,7
1478133,Blue Ribbon Sushi Bar & Grill,114085,19.4,0.0,20,Weekend,Japanese,42
1477756,Shake Shack,251607,14.12,0.0,28,Weekday,American,15
1477721,Donburi-ya,72339,14.7,0.0,27,Weekend,Japanese,80
1476952,Balthazar Boulangerie,229946,15.52,0.0,29,Weekend,French,61
1477587,Hatsuhana,92726,8.97,4.0,26,Weekend,Japanese,81
1478210,Vanessa's Dumplings,320493,29.2,0.0,30,Weekday,Chinese,77
1477887,RedFarm Broadway,69348,11.64,3.0,21,Weekend,Chinese,33
1478366,Samurai Mama,270149,11.64,5.0,18,Weekend,Japanese,82
1478279,Waverly Diner,354016,19.4,5.0,23,Weekend,American,83
1476819,Tarallucci e Vino Restaurant,104548,29.1,0.0,33,Weekday,Italian,84
1477394,Momoya,105754,14.02,4.0,30,Weekday,Japanese,59
1476667,P.J. Clarke's,157578,6.11,4.0,25,Weekend,American,85
1476975,Blue Ribbon Fried Chicken,350373,12.23,4.0,26,Weekend,American,4
1477909,Blue Ribbon Fried Chicken,47440,12.18,0.0,23,Weekend,American,4
1476579,The Meatball Shop,85633,24.2,5.0,24,Weekend,Italian,7
1477286,The Meatball Shop,110091,12.18,0.0,17,Weekend,Italian,7
1478436,Amma,95164,17.03,0.0,19,Weekend,Indian,74
1476685,The Meatball Shop,96877,22.26,4.0,26,Weekday,Italian,7
1477912,The Meatball Shop,261400,19.45,5.0,32,Weekday,Italian,7
1476892,Lantern Thai Kitchen,177078,21.93,0.0,25,Weekday,Thai,86
1476882,Shake Shack,68429,15.76,5.0,22,Weekend,American,15
1477314,ilili Restaurant,52832,9.46,4.0,25,Weekday,Middle Eastern,87
1477712,Yama 49,373633,12.61,5.0,28,Weekday,Japanese,70
1477057,Blue Ribbon Brooklyn,390490,22.85,3.0,19,Weekend,American,44
1477926,P.J. Clarke's,72639,12.18,3.0,28,Weekend,American,85
1477273,RedFarm Broadway,95644,12.61,0.0,27,Weekday,Chinese,33
1478003,Otto Enoteca Pizzeria,129597,12.13,5.0,21,Weekend,Italian,22
1477522,RedFarm Hudson,101084,12.13,0.0,22,Weekend,Chinese,17
1476947,The Meatball Shop,46859,8.54,5.0,29,Weekday,Italian,7
1478295,Momoya,117810,19.35,0.0,24,Weekday,Japanese,59
1476551,The Smile,49034,12.18,0.0,27,Weekend,American,88
1476846,Parm,82041,22.8,0.0,20,Weekend,Italian,29
1476974,Shake Shack,142461,12.13,4.0,15,Weekend,American,15
1478005,Blue Ribbon Sushi Bar & Grill,97991,19.45,5.0,27,Weekday,Japanese,42
1476653,RedFarm Hudson,113972,12.13,3.0,25,Weekend,Chinese,17
1476563,Blue Ribbon Sushi Bar & Grill,114085,12.18,0.0,18,Weekend,Japanese,42
1478440,Momoya,231042,12.13,5.0,21,Weekend,Japanese,59
1477348,Bareburger,298824,12.56,0.0,26,Weekend,American,55
1477525,TAO,52360,24.3,0.0,22,Weekend,Japanese,28
1477920,Balthazar Boulangerie,83504,29.15,4.0,28,Weekday,French,61
1477797,Shake Shack,194778,16.06,5.0,17,Weekend,American,15
1477640,RedFarm Broadway,105992,24.3,5.0,29,Weekend,Chinese,33
1477091,Chipotle Mexican Grill $1.99 Delivery,373486,9.6,3.0,26,Weekend,Mexican,32
1477010,The Meatball Shop,49631,19.4,0.0,17,Weekend,Italian,7
1478324,Blue Ribbon Fried Chicken,250494,29.1,4.0,22,Weekend,American,4
1477908,Vanessa's Dumpling House,378923,12.18,0.0,18,Weekend,Chinese,89
1477573,RedFarm Broadway,58898,21.39,5.0,24,Weekend,Chinese,33
1476728,Bubby's ,250494,24.25,0.0,28,Weekend,American,90
1477815,RedFarm Hudson,144997,32.93,0.0,30,Weekend,Chinese,17
1477283,RedFarm Hudson,75115,14.07,0.0,32,Weekday,Chinese,17
1476856,Woorijip,59674,8.25,3.0,26,Weekend,Korean,91
1477265,The Smile,115238,19.4,5.0,27,Weekday,American,88
1477723,Shake Shack,368663,12.18,4.0,28,Weekend,American,15
1478020,The Meatball Shop,128353,14.94,5.0,25,Weekend,Italian,7
1477729,RedFarm Broadway,355713,14.26,0.0,24,Weekend,Chinese,33
1477312,Dirty Bird To Go (archived),269793,8.54,0.0,30,Weekend,American,92
1476577,The Meatball Shop,100778,12.18,0.0,28,Weekend,Italian,7
1477032,Rubirosa,60052,29.1,5.0,28,Weekend,Italian,53
1478221,Rubirosa,47280,12.56,4.0,17,Weekend,Italian,53
1477747,Blue Ribbon Sushi,183520,9.17,3.0,28,Weekend,Japanese,18
1477389,Lucky's Famous Burgers,391860,16.2,5.0,27,Weekend,American,14
1477983,Five Guys Burgers and Fries,334373,14.12,5.0,32,Weekday,American,19
1477642,Haveli Indian Restaurant,370405,5.72,3.0,26,Weekend,Indian,93
1478229,Blue Ribbon Fried Chicken,64153,21.34,0.0,23,Weekend,American,4
1477270,Shake Shack,314480,6.79,0.0,25,Weekend,American,15
1477301,Blue Ribbon Fried Chicken,232035,12.18,4.0,29,Weekend,American,4
1476821,Bareburger,80434,12.18,0.0,18,Weekend,American,55
1476979,Dos Caminos,81166,6.11,5.0,21,Weekend,Mexican,94
1477762,Chipotle Mexican Grill $1.99 Delivery,91397,14.16,0.0,24,Weekday,Mexican,32
1476906,Shake Shack,237592,5.68,0.0,30,Weekend,American,15
1476867,da Umberto,91879,12.27,5.0,30,Weekday,Italian,95
1477834,The Meatball Shop,22405,20.18,4.0,26,Weekend,Italian,7
1477577,Shake Shack,290693,14.02,5.0,21,Weekend,American,15
1477492,Blue Ribbon Sushi Bar & Grill,64658,16.2,5.0,27,Weekday,Japanese,42
1476848,Dirty Bird To Go (archived),365401,15.57,0.0,24,Weekend,American,92
1477870,Mission Cantina,301032,14.45,0.0,29,Weekend,Mexican,51
1477714,Shake Shack,100536,8.15,0.0,17,Weekend,American,15
1478075,The Meatball Shop,232359,29.25,3.0,19,Weekend,Italian,7
1477677,Parm,181782,8.78,3.0,26,Weekend,Italian,29
1476589,Sushi of Gari,146588,15.96,5.0,22,Weekend,Japanese,16
1477828,Tamarind TriBeCa,360844,8.59,5.0,31,Weekday,Indian,6
1477680,P.J. Clarke's,353606,15.62,5.0,32,Weekday,American,85
1477468,Tortaria,109221,13.0,5.0,24,Weekday,Mexican,20
1476619,RedFarm Hudson,78318,12.23,4.0,19,Weekend,Chinese,17
1476702,Cafe Habana,152786,25.22,0.0,28,Weekday,Mexican,3
1478081,Blue Ribbon Sushi Bar & Grill,118776,5.87,4.0,20,Weekend,Japanese,42
1477598,Hill Country Fried Chicken,81110,24.2,4.0,15,Weekend,Southern,37
1477624,Shake Shack,104336,19.45,4.0,24,Weekday,American,15
1476773,Shake Shack,92806,12.18,0.0,22,Weekend,American,15
1478299,Lucky's Famous Burgers,130521,6.01,0.0,16,Weekend,American,14
1477326,Han Dynasty,52031,21.93,0.0,20,Weekend,Chinese,49
1478152,Parm,304708,5.92,3.0,25,Weekend,Italian,29
1478396,Cafe Mogador,74925,24.2,4.0,22,Weekend,Middle Eastern,21
1477537,Blue Ribbon Sushi,104130,15.76,0.0,26,Weekend,Japanese,18
1478372,Sushi Samba,133202,6.11,5.0,27,Weekend,Japanese,30
1478338,Vanessa's Dumpling House,150865,5.72,0.0,21,Weekend,Chinese,89
1477025,Shake Shack,331608,19.4,0.0,18,Weekend,American,15
1477158,Shake Shack,363561,8.49,0.0,32,Weekday,American,15
1477375,Shake Shack,235620,32.93,0.0,25,Weekend,American,15
1478316,Shake Shack,118975,12.23,0.0,27,Weekend,American,15
1476553,Osteria Morini,128224,9.17,0.0,22,Weekend,Italian,46
1478330,The Meatball Shop,109419,11.69,0.0,21,Weekend,Italian,7
1476999,Pepe Rosso To Go,63417,24.2,3.0,19,Weekend,Italian,72
1476569,Sushi of Gari Tribeca,55334,9.85,0.0,17,Weekend,Japanese,96
1477040,Vanessa's Dumplings,301618,25.22,0.0,24,Weekday,Chinese,77
1476599,Bubby's ,47386,22.75,5.0,16,Weekend,American,90
1476548,Blue Ribbon Sushi,122609,6.84,4.0,30,Weekend,Japanese,18
1477099,Blue Ribbon Sushi,391746,24.3,4.0,18,Weekend,Japanese,18
1477508,Momoya,62027,19.35,4.0,28,Weekend,Japanese,59
1478067,Shake Shack,237616,12.13,3.0,27,Weekday,American,15
1476946,Burger Joint,103526,9.02,5.0,29,Weekday,American,97
1477339,RedFarm Hudson,68965,12.18,0.0,18,Weekend,Chinese,17
1477490,ilili Restaurant,232035,9.17,0.0,19,Weekend,Middle Eastern,87
1477135,Pylos,62359,19.4,0.0,29,Weekend,Mediterranean,13
1477931,Room Service,403833,6.69,0.0,32,Weekday,Thai,98
1477822,Blue Ribbon Sushi,61588,5.82,0.0,27,Weekend,Japanese,18
